id,code,defination,c_id,type_id
EDG,EDG,Edgemont,Westchester,school_district
ELM,ELM,Elmsford,Westchester,school_district
GRE,GRE,Greenburgh Central,Westchester,school_district
HAR,HAR,Harrison,Westchester,school_district
HAS,HAS,Hastings-on-Hudson,Westchester,school_district
HEN,HEN,Hendrick Hudson,Westchester,school_district
KAT,KAT,Katonah-Lewisboro,Westchester,school_district
IRV,IRV,Irvington,Westchester,school_district
LAK,LAK,Lakeland,Westchester,school_district
MAM,MAM,Mamaroneck,Westchester,school_district
MTP,MTP,Mount Pleasant,Westchester,school_district
MTV,MTV,Mount Vernon,Westchester,school_district
NWR,NWR,New Rochelle,Westchester,school_district
NOS,NOS,North Salem,Westchester,school_district
OSS,OSS,Ossining,Westchester,school_district
PEL,PEL,Lpelham,Westchester,school_district
PLE,PLE,Pleasantville,Westchester,school_district
POC,POC,Pocantico Hills,Westchester,school_district
POR,POR,Portchester-Rye,Westchester,school_district
PUT,PUT,Putnam Valley,Westchester,school_district
RYE,RYE,Rye Neck,Westchester,school_district
SCA,SCA,Scarsdale,Westchester,school_district
SOM,SOM,Somers,Westchester,school_district
TAR,TAR,Tarrytown,Westchester,school_district
TUC,TUC,Tuckahoe,Westchester,school_district
VAL,VAL,Valhalla,Westchester,school_district
YON,YON,Yonkers,Westchester,school_district
YOR,YOR,Yorktown,Westchester,school_district
20,20,Andes,Delaware,town
22,22,Bovina,Delaware,town
24,24,Colchester,Delaware,town
26,26,Davenport,Delaware,town
28,28,Delhi,Delaware,town
30,30,Deposit,Delaware,town
32,32,Franklin,Delaware,town
34,34,Hamden,Delaware,town
36,36,Hancock,Delaware,town
38,38,Harpersfield,Delaware,town
40,40,Kortright,Delaware,town
42,42,Masonville,Delaware,town
44,44,Meredith,Delaware,town
46,46,Middletown,Delaware,town
48,48,Roxbury,Delaware,town
50,50,Sidney,Delaware,town
52,52,Stamford,Delaware,town
54,54,Tompkins,Delaware,town
56,56,Walton,Delaware,town
b,b,Blank/Void/Missing,Delaware,party
E,E,E.R.D.,Delaware,party
N,N,NE,Delaware,party
B,B,Blank,Delaware,party
C,C,Conservative,Delaware,party
D,D,Democrat,Delaware,party
F,F,Freedom Party,Delaware,party
G,G,Green Party,Delaware,party
I,I,Independence,Delaware,party
L,L,Liberal,Delaware,party
M,M,Marijuana Reform,Delaware,party
N,N,Libertarian,Delaware,party
O,O,Other,Delaware,party
R,R,Republican,Delaware,party
T,T,Right to Life,Delaware,party
V,V,Void,Delaware,party
W,W,Working Family,Delaware,party
0,0,Not Eligible,Delaware,party
1,1,Berlin,Rensselaer,town
2,2,Brunswick,Rensselaer,town
3,3,East Greenbush,Rensselaer,town
4,4,Grafton,Rensselaer,town
5,5,Hoosick,Rensselaer,town
6,6,Nassau,Rensselaer,town
7,7,North Greenbush,Rensselaer,town
8,8,Petersburgh,Rensselaer,town
9,9,Pittstown,Rensselaer,town
10,10,Poestenkill,Rensselaer,town
11,11,Rensselaer (c),Rensselaer,town
12,12,Sand Lake,Rensselaer,town
13,13,Schaghticoke,Rensselaer,town
14,14,Schodack,Rensselaer,town
15,15,Stephentown,Rensselaer,town
16,16,Troy (c),Rensselaer,town
CAV,CAV,Village of Castleton,Rensselaer,village
ENV,ENV,Village of East Nassau,Rensselaer,village
HFV,HFV,Village of Hoosick Falls,Rensselaer,village
NAV,NAV,Village of Nassau,Rensselaer,village
SCV,SCV,Village of Schaghticoke,Rensselaer,village
VFV,VFV,Village of Valley Falls,Rensselaer,village
1,1,Croghan,Lewis,town
2,2,Denmark,Lewis,town
3,3,Diana,Lewis,town
4,4,Greig,Lewis,town
5,5,Harrisburg,Lewis,town
6,6,Lewis,Lewis,town
7,7,Leyden,Lewis,town
8,8,Lowville,Lewis,town
9,9,Lyonsdale,Lewis,town
10,10,Martinsburg,Lewis,town
11,11,Montague,Lewis,town
12,12,New Bremen,Lewis,town
13,13,Osceola,Lewis,town
14,14,Pinckney,Lewis,town
15,15,Turin,Lewis,town
16,16,Watson,Lewis,town
17,17,West Turin,Lewis,town
HAR,HAR,Village of Harrisburg,Lewis,village
1,1,Glen Cove (c),Nassau,town
2,2,Hempstead,Nassau,town
3,3,Long Beach (c),Nassau,town
4,4,North Hempstead,Nassau,town
5,5,Oyster Bay,Nassau,town
22,22,Pomfret,Chautauqua,town
BLE,BLE,Blenheim,Schoharie,town
BRO,BRO,Broome,Schoharie,town
CAR,CAR,Carlisle,Schoharie,town
COB,COB,Cobleskill,Schoharie,town
CON,CON,Conesville,Schoharie,town
ESP,ESP,Esperance,Schoharie,town
FUL,FUL,Fulton,Schoharie,town
GIL,GIL,Gilboa,Schoharie,town
JEF,JEF,Jefferson,Schoharie,town
MID,MID,Middleburgh,Schoharie,town
RIC,RIC,Richmondville,Schoharie,town
SCH,SCH,Schoharie,Schoharie,town
SEW,SEW,Seward,Schoharie,town
SHA,SHA,Sharon,Schoharie,town
SUM,SUM,Summit,Schoharie,town
WRI,WRI,Wright,Schoharie,town
1,1,Ballston,Saratoga,town
2,2,Charlton,Saratoga,town
3,3,Clifton Park,Saratoga,town
4,4,Corinth,Saratoga,town
5,5,Day,Saratoga,town
6,6,Edinburg,Saratoga,town
7,7,Galway,Saratoga,town
8,8,Greenfield,Saratoga,town
9,9,Hadley,Saratoga,town
10,10,Halfmoon,Saratoga,town
11,11,Malta,Saratoga,town
12,12,Mechanicville,Saratoga,town
13,13,Milton,Saratoga,town
14,14,Moreau,Saratoga,town
15,15,Northumberland,Saratoga,town
16,16,Provindence,Saratoga,town
17,17,Saratoga,Saratoga,town
18,18,Saratoga Springs,Saratoga,town
19,19,Stillwater,Saratoga,town
20,20,Waterford,Saratoga,town
21,21,Wilton,Saratoga,town
1,1,Catskill,Greene,leg_district
2,2,Coxsackie,Greene,leg_district
3,3,Athens,Greene,leg_district
4,4,Greenville,Greene,leg_district
5,5,New Baltimore,Greene,leg_district
6,6,Windham,Greene,leg_district
7,7,Hunter,Greene,leg_district
7,7,Lexington,Greene,leg_district
7,7,Halcott,Greene,leg_district
8,8,Cairo,Greene,leg_district
9,9,Durham,Greene,leg_district
1,1,Ashland,Greene,district
2,2,Athens,Greene,district
3,3,Cairo,Greene,district
4,4,Catskill,Greene,district
5,5,Coxsackie,Greene,district
6,6,Durham,Greene,district
7,7,Greenville,Greene,district
8,8,Halcott,Greene,district
9,9,Hunter,Greene,district
10,10,Jewitt,Greene,district
11,11,Lexington,Greene,district
12,12,New Baltimore,Greene,district
13,13,Prattsville,Greene,district
14,14,Windham,Greene,district
6,6,Ashland,Greene,leg_district
6,6,Jewitt,Greene,leg_district
6,6,Prattsville,Greene,leg_district
